,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
161,-73.9572192,40.79315291,35E-PM-1006-01,35E,PM,10062018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,1,0,0,looking/begging for food,POINT (-73.957219204335 40.7931529059779),,19,4,19,13
167,-73.97456914,40.77710356,13A-PM-1014-03,13A,PM,10142018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,,0,0,1,0,0,,0,0,0,0,0,0,0,1,child chasing,POINT (-73.9745691353018 40.7771035589298),,19,4,19,13
186,-73.9700162,40.78152775,19B-AM-1019-02,19B,AM,10192018,2,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,1,0,0,1,0,posing,0,0,0,0,0,0,1,1,indifferent then runs from,POINT (-73.9700162034073 40.7815277479588),,19,4,19,13
187,-73.95705288,40.79909738,41B-AM-1010-07,41B,AM,10102018,7,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,10,,0,0,0,0,0,,1,0,0,1,0,1,0,0,mad!,POINT (-73.9570528770427 40.7990973804149),,19,4,19,13
189,-73.9695508,40.77430704,12F-PM-1007-04,12F,PM,10072018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,1,0,stared,POINT (-73.96955079651552 40.7743070423435),,19,4,19,13
196,-73.96793363,40.77541866,14G-PM-1013-01,14G,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,1,0,0,,0,0,0,0,0,0,0,0,watching,POINT (-73.9679336341793 40.7754186579647),,19,4,19,13
202,-73.96387746,40.79135321,31A-AM-1010-05,31A,AM,10102018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,0,0,0,1,1,jumping,0,0,0,1,1,0,1,0,eventually ran from lawnmower (tail flag),POINT (-73.9638774579549 40.7913532129148),,19,4,19,13
213,-73.97725766,40.76798951,3D-AM-1006-08,03D,AM,10062018,8,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,0,0,0,1,1,,0,0,0,0,0,1,0,0,approaches (food stand),POINT (-73.9772576561244 40.7679895093963),,19,4,19,13
224,-73.96384227,40.78873409,28C-PM-1006-02,28C,PM,10062018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,Near rock,1,0,0,0,0,,0,0,0,0,0,0,0,1,dog,POINT (-73.963842266151 40.7887340867773),,19,4,19,13
230,-73.95278082,40.79241672,36I-AM-1017-05,36I,AM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,1,1,,0,0,0,0,0,0,0,1,runs from (me),POINT (-73.9527808174534 40.7924167234441),,19,4,19,13
231,-73.96241846,40.79215249,32B-AM-1017-03,32B,AM,10172018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,1,1,1,1,"approaches (primarily),runs from (initially),follows",POINT (-73.9624184586031 40.7921524868211),,19,4,19,13
232,-73.95683431,40.79494014,37E-PM-1006-04,37E,PM,10062018,4,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,0,0,doesn't see me,POINT (-73.9568343093228 40.7949401350882),,19,4,19,13
241,-73.95902366,40.79826325,40A-AM-1010-04,40A,AM,10102018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,bottom great hill,0,0,0,0,1,,0,0,0,1,0,0,1,1,dog chased,POINT (-73.9590236602085 40.7982632456866),,19,4,19,13
247,-73.97517294,40.77432841,10B-PM-1014-02,10B,PM,10142018,2,Adult,Gray,White,Gray+White,,Above Ground,,gingko tree by traffic light in front of Strawberry Fields,0,0,0,0,1,,0,0,0,0,1,0,0,0,came over on tree to see me then disappeared,POINT (-73.9751729403694 40.7743284123118),,19,4,19,13
249,-73.97267477,40.77030227,7F-AM-1008-02,07F,AM,10082018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,1,0,0,0,0,,0,0,0,0,0,0,0,1,see stories and locations,POINT (-73.9726747666002 40.7703022669308),,19,4,19,13
256,-73.97733171,40.7684036,3D-AM-1006-03,03D,AM,10062018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,on top [of] a big rock/boulder in the area,1,0,1,0,0,climbing (rock),0,0,0,0,0,1,0,0,"approaches (slightly),wary of humans",POINT (-73.9773317054464 40.76840359967581),,19,4,19,13
270,-73.96612629,40.78440856,23D-AM-1013-01,23D,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,3,,0,0,1,0,0,,0,0,0,0,0,1,0,0,"approaches (he saw me,came towards,then darted up)",POINT (-73.9661262885099 40.7844085550945),,19,4,19,13
271,-73.95219501,40.79493734,39H-PM-1013-01,39H,PM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,1,0,,0,0,0,0,0,0,1,0,ran away when a human approached with a dog,POINT (-73.9521950056404 40.794937340845),,19,4,19,13
293,-73.97565736,40.76566441,1G-PM-1010-01,01G,PM,10102018,1,Adult,Gray,White,Gray+White,,Above Ground,15,,0,0,1,1,0,,0,0,0,1,0,0,1,0,too busy eating in his tree,POINT (-73.9756573579063 40.7656644063024),,19,4,19,13
322,-73.95734698,40.79440446,36E-AM-1013-03,36E,AM,10132018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,1,0,indifferent (moving very fast),POINT (-73.9573469787503 40.7944044592573),,19,4,19,13
330,-73.95448101,40.79544697,39F-PM-1006-03,39F,PM,10062018,3,Adult,Gray,White,Gray+White,,Above Ground,15,lower branch of tree,0,0,0,1,0,,0,0,0,0,0,0,0,1,ran up tree when approached,POINT (-73.95448101115 40.7954469678857),,19,4,19,13
336,-73.95831019,40.78526493,27I-PM-1020-05,27I,PM,10202018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,In tree,1,0,0,0,0,,0,0,0,0,0,0,0,1,runs from (us),POINT (-73.9583101927652 40.7852649316039),,19,4,19,13
339,-73.97449608,40.76525855,1H-AM-1012-01,01H,AM,10122018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,1,0,1,first approaches then runs from - he was less than 1 yd. away from me.,POINT (-73.9744960829844 40.7652585501959),,19,4,19,13
341,-73.96059666,40.78898491,30E-AM-1008-01,30E,AM,10082018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,1,0,0,1,scurried into bushes when jogger ran by,POINT (-73.9605966636226 40.7889849108637),,19,4,19,13
361,-73.9571408,40.79319174,35E-PM-1006-02,35E,PM,10062018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,1,0,0,begging for food,POINT (-73.9571407991577 40.7931917396406),,19,4,19,13
364,-73.95760351,40.79661208,38C-AM-1019-01,38C,AM,10192018,1,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,1,0,0,0,0,,0,0,0,0,0,0,0,1,runs from (lawnmower),POINT (-73.9576035072364 40.7966120824816),,19,4,19,13
365,-73.96735485,40.77656691,15G-PM-1019-11,15G,PM,10192018,11,Adult,Gray,,Gray+,,Above Ground,4,,0,0,1,0,0,,0,0,0,0,0,0,0,0,stared,POINT (-73.9673548527075 40.7765669058396),,19,4,19,13
368,-73.9596399,40.7933387,34D-PM-1007-02,34D,PM,10072018,2,Adult,Black,,Black+,,Above Ground,25,,1,0,1,0,0,,0,0,0,0,0,0,0,0,cautiously aware,POINT (-73.9596398997228 40.7933386953847),,19,4,19,13
373,-73.9556818,40.788852,32I-AM-1013-02,32I,AM,10132018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,15,,0,0,1,0,0,,0,0,0,0,0,0,0,0,watching me from tree - curious,POINT (-73.9556817958407 40.788852000621),,19,4,19,13
380,-73.95970941,40.79197451,33D-PM-1006-03,33D,PM,10062018,3,,Black,,Black+,,Above Ground,15,,1,0,0,1,0,,0,0,0,0,1,0,0,1,ran up tree,POINT (-73.959709414696 40.7919745085986),,19,4,19,13
381,-73.97359468,40.77241558,8E-PM-1008-01,08E,PM,10082018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,by tree trunk base,0,0,0,1,0,,0,0,0,0,0,1,0,0,eating food being thrown at it by a mom & baby,POINT (-73.9735946835545 40.7724155751282),,19,4,19,13
386,-73.95783165,40.7890103,31G-PM-1007-01,31G,PM,10072018,1,Adult,Gray,,Gray+,,Above Ground,15,,0,0,0,0,0,hiding,0,0,0,0,1,0,0,0,"froze,sight of dogs",POINT (-73.9578316525492 40.7890102959629),,19,4,19,13
400,-73.9658621,40.78259269,22D-PM-1012-01,22D,PM,10122018,1,Adult,Gray,"Black, White","Gray+Black, White",,Above Ground,5,,0,0,1,0,0,,1,0,0,0,0,0,0,0,climbing tree,POINT (-73.965862100991 40.7825926896917),,19,4,19,13
401,-73.96819174,40.77232988,11I-PM-1012-03,11I,PM,10122018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,1,0,1,0,1,,0,0,0,0,0,0,0,1,runs from the dog,POINT (-73.9681917366128 40.7723298813768),,19,4,19,13
407,-73.96337602,40.78184224,22G-PM-1018-03,22G,PM,10182018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,1,0,0,0,0,chilling,0,0,0,0,0,0,1,0,observed,POINT (-73.96337601736352 40.7818422357619),,19,4,19,13
408,-73.95308097,40.79591763,40G-PM-1013-02,40G,PM,10132018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,1,0,0,1,0,hiding from dog,0,0,0,0,0,0,0,1,runs from (dog),POINT (-73.9530809650496 40.79591763177051),,19,4,19,13
409,-73.95840249,40.78514917,27I-PM-1020-01,27I,PM,10202018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,1,1,runs from (us),POINT (-73.9584024936392 40.7851491701944),,19,4,19,13
419,-73.96718516,40.77508787,14H-PM-1012-01,14H,PM,10122018,1,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",,Ground Plane,FALSE,,1,0,0,1,0,,0,0,0,0,0,1,0,0,approaches (came very close to me),POINT (-73.9671851611243 40.7750878657618),,19,4,19,13
424,-73.97044852,40.77172906,9G-AM-1007-02,09G,AM,10072018,2,Adult,Gray,,Gray+,,Above Ground,25,,0,0,1,0,0,,0,0,0,0,0,0,0,1,kids were trying to poke it with a stick,POINT (-73.9704485231855 40.7717290560806),,19,4,19,13
430,-73.9757436,40.77460644,10B-PM-1014-01,10B,PM,10142018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,on lawn in front of a tree,0,0,0,0,1,,0,0,0,0,1,0,0,0,stay on ground but went to other side of tree to hide from a dog,POINT (-73.9757436019432 40.7746064363227),,19,4,19,13
441,-73.95024663,40.79592288,41I-AM-1018-02,41I,AM,10182018,2,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,1,0,0,0,1,,0,0,0,0,0,0,0,0,runs off,POINT (-73.9502466289084 40.7959228779883),,19,4,19,13
464,-73.96830411,40.78626523,24A-AM-1014-01,24A,AM,10142018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,1,0,0,0,0,,0,0,0,0,0,0,0,0,freezes,POINT (-73.9683041099256 40.7862652300082),,19,4,19,13
469,-73.9581243,40.79443147,36D-AM-1007-01,36D,AM,10072018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,0,0,1,0,1,,0,0,0,0,0,0,0,1,avoiding a dog,POINT (-73.95812430217221 40.794431473386),,19,4,19,13
475,-73.96909682,40.76992327,8I-AM-1006-08,08I,AM,10062018,8,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,tree,0,0,0,0,0,,1,1,0,0,0,0,0,0,not backing down,POINT (-73.9690968160819 40.769923269444),,19,4,19,13
478,-73.95694034,40.79565996,38D-PM-1006-01,38D,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,1,0,0,0,0,,0,0,0,0,0,0,0,0,didn't see me or others,POINT (-73.9569403365847 40.7956599608798),,19,4,19,13
